,Title,Alias,Link,Seller,Price,Rating,Review Count,Availability,Features,Image Data,Image Extension
0,"WD_Black 500GB SN850 NVMe Internal Gaming SSD - Gen4 PCIe, M.2 2280, 3D NAND - WDS500G1X0E",WD_Black5,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06998492P4IV1QKLJCPT&url=%2FWD_Black-500GB-SN850-Internal-Gaming%2Fdp%2FB08KFN1KT1%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dssds%26qid%3D1614629716%26sr%3D8-1-spons%26psc%3D1&qualifier=1614629716&id=5018746556138181&widgetName=sp_atf,Western Digital,$119.99,4.5,293,In Stock.,"['Next-gen PCIe Gen4 technology optimized for top-tier gaming (not intended for NAS or server environments)', 'Irrationally fast read/write speeds up to 7000/5300MB/s (1TB model) and up to 1,000,000 IOPS (1TB and 2TB models)', 'Up to 2TB capacity to hold your favorite battle-ready games', 'Downloadable WD_BLACK Dashboard software to customize and control your gaming experience', 'Compact form factor design for easy connectivity']",https://images-na.ssl-images-amazon.com/images/I/51LCwGqMtpL.__AC_SX300_SY300_QL70_ML2_,jpg
1,Crucial P2 1TB 3D NAND NVMe PCIe M.2 SSD Up to 2400MB/s - CT1000P2SSD8,CrucialP2,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0995795IXR5QTT2JVNJ&url=%2FCrucial-NAND-NVMe-PCIe-2400MB%2Fdp%2FB089DNM8LR%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dssds%26qid%3D1614629716%26sr%3D8-2-spons%26psc%3D1&qualifier=1614629716&id=5018746556138181&widgetName=sp_atf,Crucial,$104.95,4.5,"4,669","In stock on March 19, 2021.","['Capacity: Up to 2TB with sequential reads/writes up to 2400MB/s/1900MB/s', 'NVMe PCIe interface, marking the next step in storage innovation', 'Includes SSD management software for performance optimization, data security, and firmware updates', '5-year limited warranty']",https://images-na.ssl-images-amazon.com/images/I/61V9bQsy64L.__AC_SY300_SX300_QL70_ML2_,jpg
2,SAMSUNG 870 EVO 500GB 2.5 Inch SATA III Internal SSD (MZ-77E500B/AM),SAMSUNG87,https://www.amazon.com/SAMSUNG-500GB-Internal-MZ-77E500B-AM/dp/B08QBMD6P4/ref=sr_1_4?dchild=1&keywords=ssds&qid=1614629716&sr=8-4,SAMSUNG,$64.99,4.5,229,In Stock.,"[""THE SSD ALL-STAR: The latest 870 EVO has indisputable performance, reliability and compatibility built upon Samsung's pioneering technology"", 'EXCELLENCE IN PERFORMANCE: Enjoy professional level SSD performance with 870 EVO, which maximizes the SATA interface limit to 560/530 MB/s sequential speeds*, Accelerates write speeds and maintains long term high performance with a larger variable buffer', 'INDUSTRY DEFINING RELIABILITY: Meet the demands of every task from everyday computing to 8K video processing, with up to 2,400 TBW** under a 5 year limited warranty***', 'MORE COMPATIBLE THAN EVER: 870 EVO has been compatibility tested for major host systems and applications, including chipsets, motherboards, NAS, and video recording devices****', 'UPGRADE WITH EASE: Simply plug 870 EVO into the standard 2.5 inch SATA form factor on your desktop PC or laptop and let the renewed migration software takes care of the rest', ""SAMSUNG MAGICIAN SOFTWARE: Make your drive work smoothly with enhanced Samsung Magician 6 software that helps you easily manage your drive, keep up with the latest updates, monitor the drive's health and status, or even enhance its performance****""]","/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAwMDQsNCxAODBANEA4QExYRDRASGR8dFhsVHhgYEx4YFRsVFBwYGyAZHhsjKyQpIyA6LCYxGSYoRC5FOUsyLkIBCA4NDhITDhERExMREhYTJxsSES4cHR8TKQsfERYeFhcfEBYZHBAXIRcpDCMRCy8gKBwUJxYSERQeFg4bHTAeIP/AABEIANEBLAMBIgACEQEDEQH/xAB+AAEBAQADAQEBAAAAAAAAAAAAAQIEBQYDBwgQAAIBAwEEBgYHCAIDAAAAAAABAgMEEQUGEnOyITE0UVSTExU1QWFxFCIlMmJy0SMzQlKBkaGxJOFDgrMBAQEBAAAAAAAAAAAAAAAAAAABAhEBAAAAAAAAAAAAAAAAAAAAAP/aAAwDAQACEQMRAD8A9ptHrF1Qf0WwmqU+qtXwm18IJnjPT6g3mV9fSb636RnJ1Obnf1t5t4qT5mcHo95pH19Pf+NvfMY+k3/jLzzGfInQUfV3N/4y88xkd1f+MvPMZ8mzDYH2+l6h4y88xmHe6h4y88xnwbPlJgcn6fqPi7zzGR3+peLvPMZxMnzb/wCgOY9R1Lxd35jMvUtS8Xd+YzhNmGwOc9S1Pxd35kjL1PU/F3fmSOCzDzkDn+tNU8Xd+ZIy9V1Txd35kjr3nrMPIHYvVdV8Xd+ZIy9W1Xxl35kjrmYZB2XrfVvGXfmSMvV9X8Zd+ZI60ywOz9cav4y78yRj1zq/jLvzJHWmAO0es6x4y78yRPXOseMu/Ml+p1ZkDtfXWs+Mu/MkR61rPjbvzJHVEYHaPWtZ8bd+ZL9Seu9a8bd+ZL9TqiAdq9b1rxt35kv1J671rxt35kjqgB2nrvW/G3nmS/Ueu9b8bd+ZL9TqiAdt671vxt35kieu9b8beeZI6ogHbeu9b8beebIeu9b8deebI6kAd/abUbRWNZVaV3WrQTzOhXe/CR+5aFq1DWtLpX1BOO/mNWn74VF1xP5tPcbMVKtLTqipznFOvKWF+SmRXZai/wDnV+JPmZxEzkal7Qr8SfMzh5NI+jfuf9UQw3j45I5Aa6jDfQG8mG/+gMtvJiTNNnyYEbz7z5tmj5tgRszkSZhsAzDZowBGZbK30GMgGYbRWzJBDBpmQIZeSmWBMmSkAGWUgEIABACAQFIAIUAQAAD22znYJ8Z8lM8Se22c7BPjPkpgc/Uu31+LPmZwGzman0ahX4k+ZnAyUfT3kbM/My2Bpsy30Ez0d7MMCNmWGz5t9IBv4mGw2YYFbMP4EyZbYFyZYyYbAPBljJlkBmCsyAMFZAIYKyACAAQyUgEAIAAIAAAEAAAhQBD2+znYJ8Z8lM8Se22c7BPjPkpgcjVfaNfiz5mcDPRg5mqv7Rr8WfMzr8lH0JvGW8mW2mBpyMN/MjZlsA2YbDZhsA2ZbI2YAP4EbQMtgGZyDBBfeZyGyAQgZlgGZZSAQyUgAgJkCMhSACFIAIUgAAAQFAEBSAD2+znYJ8V8lM8Se22d7BPjPkpgXVX9pXHFnzs65vv/AKnP1Z/adxxZ8zOtzko2TJjJMoDTMsjZlsA2zLZGzOQK2ZyRszkAyNkJkgGQZyAyQGQBAQAyAgEAIAMlIAIUgAgAEBQBAAAAAAAAD22zvYJ8Z8lM8Se22d7BPivkpgfLWH9p3HFnzM65s5+se07ji1OdnWZKN73vJkxkjYGmzLeCGGBpsyTJlsCszkmSZIL7jJGyAVkLCFWrPco051J4zuwTb/wYkpwm4VYzhUXXGaaf9mkwDZBib6oTku9JtE/o893vyAIw99fehOPxaaJif8lTHfh4AELFTnNQpxlUm+qMU2/7ISjUpzcKsJ05rpcZpp4+TAyQuJe+Mkvc2nh/ImJfxRlHuTX6gQD66+9CcV3yTS/yhiS+9GUe5tNJ/ICA1TpXFVOVGjWqRj1yhFtL+qRhPIAAAAAAAAAAAAAAPbbO9gnxXyUzxJ7bZ3sE+K+SmBxNZf2rc8Wpzs6xs7DWfatzxqnOzq8lG38CZM5JkDTZlmWyZIK2jLBlgMkyMmQLkjGSAfpGy04VtnLm00uvQtta35Tc6h0O1l/e3ELa01Wxdtf23Xde6ssYe40j76LaaDf6ROCrUrLX6Un6G6nUnH35TWJqBzNr722r6XpumzuqN5fwmndXMPluuTfUt8g73TKvqzStCt2kndySn/7051jxt3Q9Bt9GmliM76jVgvhNxmdrtLqlh9P0NWFxSrUbOcZ1503lJJwhymdaudLntppV9bXVCdunRdzVjJYg4T65lV2u1ub3Sr+3STnaV7acPlPETtLyovVeqWcVHdtbFUl5LkdRT1HR57T6jCvd2/0C4oUHCs5fUc6ZxrPVNOqw2kde6owlcTqKyUn9+KounHcA4+w07aWmX9rb1aFDWavZ51e7GIuPeos4O1l9qUtPoadrVk4X9Gaa1FYcKqSaahiJxtm7bZ69064t7+dK11hNuwu6k5wx3Nbs1DMGdvtRe0I7MUNKr3tDUdTVWMpVqXM2QNomnsloPwnQ5DG3zzqekfJ88DkfZev7O6ZarULazr2Tpu5hX/AnA6nbPUrG/wBXsVY1FVpWcVGvWj9zLmpFHsdpVDULDUNMwvTU7SF9bd7cJyyeX21nv6FofDX/AMoHYanrWlLa3Trq2uaNWxdCVte1IPKjGX851W2l1pVzZafQ0u6o3KoOSkoe5KKSIPVaneajpM9EstCoRnSdNzuraEVmdKCg2j8+2qm6utOs7Grp86tOMqlCpjLl0rf+p3nta9fRtcekX9HVaFlLT8O6oVOib+43DrX8h47a7UrTVddlXsnv0KdOFFVfdJrLbQHmyAFQBQBAUAAAAOdb2Fa6s6lxQ+tKjLE6fvccJ5icE5VO7r0rWdtSe5GrLeqyXW1hLdA4p7XZ3sE+K+SmeKPbbPdgnxXyUwOt1r2tc8Wpzs6vJ2Ote1rrjVOdnV5A02MmckbApCZJkCtmQQCkIQCkIAI0mbpU5VKsKVPG9UkoRb6st46TBYuKnFzTlFNOUU8Nr4PHQByJ2k4VvQUWq1R5U4QTUk117ykkKNnVqKecU3GoqU4yT3t5py6km/ccupqFGcfROFeVJ03TnVlJemw2pJJ46o4ItSiqrn6KWN+Eore6d2FN0kpPHS3kDhK0rStZ3EouNGGGnL+LL3fqm5WUlSpTc6e/VSlQpdOWm8JKWN3PwyfWpe0qlvOHo6irVKdOlJ5/ZpQaw4rGeklO8pUrR0IQrSlJJOM5J0lJNP0kFjKYHwq2l1Gc4TpTcqXTUcVlJCVld03TXopOVaO/T3VnoOwp6lbQrVK0aNbfqTc224tvMXHcy49CXwPlRv6UFDehUz6BW9V9DSSakpQUk0/imBwaNq69WcJuNJ0oudV1M9CXXnCbNTs7mnJQpw9NGUd+E6OZRcO/qPurunK7r1q8arp16bpPGN9JpJPqUfcWpewdCdCjCcKXo40qHTmWFPfbm/xAcOrbVaU1S3JS3/uOKeJPCbUcpN4yYdKpTSnOnOEZ/ck00n8snZvUl+3apvM0vorb6ac9xUpv47yMXl8rmgoKM4tuEqkWo7uYx3ehqO+wOrcYtl6igAAAABQIUAAAAAKAIe12e7DPivkpniz2mz3YZ8V8lMDqNb9rXXGqc7OrOz1v2vdcapzs6oC5IQAXJkEArIQgFBCAUEIBSAgFBAAIAAAAAAgFAAAAAAABQAAAKAAAAAoA9ns/2GfFfJTPGns9n+wz4r5KYHSa2/te641TnZ1Z2Wt+17vj1ednV5ApCEyBSAgFIQZAMEAAAAAQgFBABSAAAAAAAAAoEKABQQoAAoAAACgoEKAAPabP9hnxXyQPFntNn+wz4r5IAdBrfti749TnZ1TOz1z2xd8erzs6oCghAKCEApAQCggAoMgCggApAAKZyjUMOpBPqckn8snu3p2mJ9mpAeDyMo936u0zw1IertM8NSA8IminrtRsrClp9epSoU4VIpbsl+ZI8guoClAAAACgAAUAAUFAAFAhSkAHs9n+wz4r5IHjT2ez/YZ8V8kAPOa57YvOPU52dTk7TXPbN5x6vOzqgKCEAoIAAIAKRggFKQAAAAKQAah+9p/nj/s/SJdZ+bw/e0/zx/2j9Il1gZAAHB1X2XcfJcyPDLqPc6r7LuPkuZHhl1AUpABSkKAKQoFAAApQABQAKAAPZ7P9hnxXyQPGHs9A7DPivkgB5jXHnWbzj1ednVHutttAvLPUqup21KdWxuXv1txZdKp7988Gpxa6GgNEJvLvG9HvAoM7yG8gKDOUN5AaBneRd5AUE3kN5d6ApTO8hld4GgZ3kXMQNw/e0/zx/wBo/SpReT8y3l3je/E/7gfpe6xus/NN78T/ALje/E/7ge81ZP1VcfJc0TwqJvfib+DY3o96A0UzvRG8u9AbBneXei70e9AaBnej3ou9HvQGimd6Pei70e9AaKkZ3od6G9DvQGimVKHehvw70BoE3496LvU+9AMHtNn+wz4r5IHjKca1erGhZ06levN4hTppt/4P3PZvQI6ZpMKN6oVLqbda47lJ/wAC/KkB3M/uS+TPx697bW/MwDKuMACgAAAAAAAAAAAAAAAAAAAAAoAAAACgAAUAAAAAAAAAAAAPd7Gf+Y9aAQf/2Q==







",jpeg
3,SanDisk Extreme 900 Portable 960GB SSD (SDSSDEX2-960G-G25),SanDiskEx,https://www.amazon.com/SanDisk-Extreme-Portable-960GB-SDSSDEX2-960G-G25/dp/B01127E6P4/ref=sxin_9?ascsubtag=amzn1.osa.3d281b1c-00d0-4c47-8cda-be81f03f3205.ATVPDKIKX0DER.en_US&creativeASIN=B01127E6P4&cv_ct_cx=ssds&cv_ct_id=amzn1.osa.3d281b1c-00d0-4c47-8cda-be81f03f3205.ATVPDKIKX0DER.en_US&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&dchild=1&keywords=ssds&linkCode=oas&pd_rd_i=B01127E6P4&pd_rd_r=30c89f4f-66e2-4c64-8f2a-cc68cf9abd0f&pd_rd_w=q0cxj&pd_rd_wg=yHPzO&pf_rd_p=35b32c02-1b41-4e49-9b89-0297af2446e1&pf_rd_r=Q0ST42690TF472BTCS4E&qid=1614629716&sr=1-2-64f3a41a-73ca-403a-923c-8152c45485fe&tag=pcmagcontent-20,SanDisk,$299.44,4.1,205,Only 5 left in stock - order soon.,"['Storage Capacity: 960GB Portable, External Solid State Drive.', 'Sequential Read (up to): 850 MB/s.', 'Sequential Write (up to): 850 MB/s.', 'Interface: USB 3.1.', 'Dimensions: 0.70 x 3.25 x 5.25 in. (17.78 mm x 82.55 mm x 133.35 mm). Weight: 0.46 lbs (210.40 g).']","/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAwMDQsNCxAODBANEA4QExYRDRASGR8dFhsVHhgYEx4YFRsVFBwYGyAZHhsjKyQpIyA6LCYxGSYoRC5FOUsyLkIBCA4NDhITDhERExMREhYTJxsSES4cHR8TKQsfERYeFhcfEBYZHBAXIRcpDCMRCy8gKBwUJxYSERQeFg4bHTAeIP/AABEIAMkBLAMBIgACEQEDEQH/xACEAAACAgMBAQAAAAAAAAAAAAAAAQIEAwUHBggQAAEDAgQCBgYGCAUFAAAAAAABAhEDBAUGEhMUsyE1UWF0sSIkMTZBciNzgbTD0hYzUnF1kaGyB0Jik5QVMjRDUwEBAQEAAAAAAAAAAAAAAAAAAAECEQEBAAAAAAAAAAAAAAAAAAAAAf/aAAwDAQACEQMRAD8A6qa7Gsw4dg6aKs1rpUlltTjV+9/wYhLHsTZg2GrVZDriqu1at7XxMu7mIc+w7DFrqt/iU1qtZdxqP+P+t4VmfjubsWlbBnD0O2i3zq1RcHnVenj6n/Lb5bhvV1LCfBOhqfBE7EFpUg86+1z4joZdPc3t45nluknWmeduW3j1f8Wca3z3DfwoQoGgp2menTu3j2dnrrV8qhDhs+zHEvjxzPZ/unooUIUDQVLTPLY2rx7+311qedQG2meVZL7x7X/BvGt89w30KHSBoGWufFdD7p7W9vHM8twH2ue0dDLp729vGs8tw33pB0gaJbTPO3KXj1f+xxrfPcCna56dO5dvYnjWr5VDedIdIGhW2z7KxcujxzPzk6lpnlsbV49/b661PxDdyopUDSstM8q2X3j2O+DeNb57hFlrnxXQ+6e1vbxzPLcN3K9oS4DSvtc9tdFO7e9vjWp+IPhM87c8Y/c/Y41vnuG51OFqUDTU7XPblipdvYnjWr+IRda59mG3L1TxzPzm71KLWoGoqWmeWxt3j3r41qedQGWmeXIu5ePYvjWr+IbfWoa3AaVtrn6U13L2p45n5x1LTPbXRTu3vTxrU/ENzrd2i1uA1HCZ62p4x+5+xxrfPcEy0z450VLt7E8a385uNxwbjgNM+1z8joZcvcnjmfnJPs89I2WXj3r2ca1PxDb7ju0Nx3aBqKdnnp07l49i+NavlUIJa5/lJuXx45v5zdbjh7ru0DTvs8+Iqbd296eNb+cbLLPKtl97Ua7s4xvnuG33Xdobru0DUPXPFg1a3FVnsYkviqyt/RyuL+G53rsejMYoSz416CQ5PnYWUquT4lS6t7S8T1hiav8A6M6HgdAt69C5osr29RlWjUSab2LKKM5thN1Xy3ijKNV+5hV66Nfwa6Y1/wClWTDzpJUeLzRQdiOP2tlr0UqVqtd/2vWeXH2lxdPsRERE6EROwwX7ozPiD16dvDqTW/bWYVuIQjS/0B0FDfQN9CC90B0FHfQN9ALvQLoKW+gb6AXegRT30DeQC30C6CrvILeQC30C6CrvIG8gFkRX3kFuoBYFBg3UDdQDMBh3UDcQDLAoMe4LcQDJAQY9aBrQCcCgjrQNaASgUC1oGpAHAQLUGpCggIFqQNSAOBQGpA1IAQEBqFIGO6o07rDrq3qxG26tRXsqMRXdHzNlD3GXrl95gNjXqLL3UWtqL2uZNNV+1Wngb9+mxrO7Gz/VD2uU/dyzT63nVAleZxd+jHcZd2WNtzaR51LrvN7jnXGOeEtP76Z5BF6ANlxXeHFGuAK2PFd4+K7zWyMDY8UHE95rpCQNlxPeHEmukJA2XEhxJrpHIGx4kOJNdI5A2PEhxBr5GBsOIHxBr5ADYcQPiDXjkC/xA+IKEjkC/vhvlGQIL++PfKEjkC9vj3ygMKvb499CiAF7fQN8oyOSi7vBvIUgkC7vBvIUpACWIVUXD7hO2mp0LK1REy7adv03OqHMr1fUa/yKdKyi6Mu23zV+c8JXmcc63xzwlp/fTPHovQevx3rfHfCWn99M8aihE5CSMgBOQkgEgTkcmMchU5HJjkcgTkcmORyBORyQkJAySOTHIwMkjkxyOQJyOSEjkCcjkxyOQMkjkxyOQJyOTHI5AySEkJCQMkhJCRyBOQISEgTkckJCQJyEkJAgw3q+pV/kU6Zk73ct/nr8+ocwvF9Sr/Ip03Jfu5Q+tuOfUKjzWPdbY54S05lM8Wi9B7PH+tsc8HacymeKT2ATkJIgBKQIgBKQkiAE5CSIATkckJCQJjkgMCchJCRyFTkckByBMcmORyBORyQkYE5HJCQkDJISQkcgTkckJCQJyOSEhIE5HJCQkCchJCQkCchJCQkDFeL6nW+RTp2Sfduj9dc8+ocvu19UrfIp0/JPu5R+uuee8I83mDrXHPB2nMYeIT2Ht8w9a454O05rDw6ewCQEQAkBEAJARGBICMgBMCIATAiAExkBgSkckBgTkZAcgTkJIDAnI5IBMBWQJNpSwis7ZbcXNnaV7hqPtqFZy63NX2Kulqo3V3msr06lvcVLer+tpPdTfHslFhYAJCTHqSJGjkVWpMIqomr4J3qBkkJNq3BrivTe/D7i0vVppNSlRcu5HbpqMaU7K0W83vpre3SgzW/fdpn/AEtSJVQK8hJi1p3m0TDarsKdidOtQfRY5GVaaTuNdKJCy2PiBRCTGjkX2DAnISQkJAxXa+qVvkU6jkj3cpfX3PPecsul9Vq/Ip1LI/u5T+vuec8I85mLrXG/BWnNYeGQ9zmLrTG/BWnNYeFT2ASAQgJARACQERgWaC2iU63EJVWorfVlZEI+f8/dBXEAEhkQAkMiAEhkQAmBEYEhkBgSkZAYE5EvSkCBYUD2iXmB4ls2WYbetaYjTYyi24aVuCxHClv2suLWjbUqrGPxCu2akxrRjIa9ZVHpqNeuOXFTafc2mH3FxRRG0bioxdadkw9GrBioYxe0mXFOsy3vKd0/erMuW6k3f22wqAeovGUKeP4M9jLdeOosS7hibdSY9LQ5sJJltHsr45iuGvoWrbFlKpootptSHJCa5iZPMPx28q1rWvWo2j61mkW79Kp/NGPROgKOOXdC9uL2nQtN+6TTWWHRHxhNzo1ASyrufpDa7U/+zc+Tbcb9vD1auZGIyi+nS11KKqxstqKjkcrXRJ5qli9xbU6jLChaWbqqRUrUWruR2I573QKwxSrYW1a3o0Lao24lLl9TUr3t7Fh6AegwllK4wy2Zhtezo39PW67tbqm1d/7XJqjsgMOoMq4HiFteuZaTfoy57GekyWtNBSxapTZQ1WtnVq2fRY13o7XTSZROh6I7Qvs1B/1a44CvZPpW72XKufc1XI7cc9VnXOuJkC3mBa9C+WxdSo0bWjC2aU2omqnEI9z41OXtNGbG8xevfWlK2uKFr9A1GUK6I7da1ISJV8LMGrAnISQkArHdL6rV+VTqeRvd1niLnnOOVXP/AI1T5VOqZG93WeIuea4I89mPrTG/BWnNYeET2Hu8x9aY34K05zDwaewoYABAAAAAAADAQASAiMBjIjAYyIwGMiMCQERgSAiMCQERgSAiMCQSRACYEQAlIyAATkJIyEgSkJIyAGO5X1ep8p1bIvu63xNzzXHJ7hfV6nynWMi+7rPEXPNcB57MnWmNeBtOcw8GnsPeZk60xrwNpzmHgk9gDAQAMBAAwEADAQASAQAMZEYDGRACQyIASGRACQCACQERgSAiMBjIgBICIwJARACQEQAkBEAMdf8AUP8AlOtZF93GeIuea45JX/UP/cdbyL7uU/EXPOeB57MvWeNeBtOcw8EnsPe5l60xrwNpz2ngU9gDAAAAACgAAAAAAAYgIGAgAYxAAxkRgMBABIBAAxkRgMBAAxkQAkBEYDAQAMBAAwIgBGt+pf8AuOvZG926X19zz3nIKv6p37jsGR/dqh9dc8+oUeazL1pjPgLTntPAp7D3maOuMXTtwu2f/K6Yw5+jugDLIpMeoNQGSQkx6g1AZJCTHqFqAyyEmLUGoDLISYdQagMshqMWoNQGbUGowag1AZ9QajBqDUBn1C1mDUGoDPrDWV9QagLGsNZX1C1AWdYbhW1C1AWtwNwq6hagLe4LcKuoWoC3uBuFTULUBc3Q3VKeoWoC5uhulPULUBbdUlqp2naMj+7Ft9Zcc+ocNasqdzyOkZUsu/e59QDzec6W3j9qrl0UcTsquHK/4bqP3Wau7c0HMVc9jnU6iK17FVr2r7UciwqKd7zVgqY7g77ZkJc013rN3w3Oxe55we6fUq1HU71rrfFKP0dfcSN2OhNf7NRE+x/tmelQhuBuFFXqiwvQqe1BawL24Gso6w1gXtwNwo6w3AL24Gso7gbgF7WGsobiBuoBe1hrKO6gt1AL+sNZQ3UDdQC/rFrKO6gbqAXtYayjuoG6gF7WLWUt1A3UAu6w1lLdQN1ALusWop7qBuIBc1BrKe4gbiAW9QaipuIG4gFvULUVdxA3EAtahairuIG4gFrUGoq60J9MS70W9q/H93aBn1o1j3r8Gq1vzL0H0Vlm1fZZdw+g9Ie2g1z07HP+lVPsVxxrKGBVccxNlWqyMNs3o+u74PfM7R3IIDT5hythePM11U2LxEind0/J6TD0NwAHDcRyPmWzeuzRZe0fg+gvmx8PNJ+j+Y56qxP/AGXn0aAHzq3AMdj08Kxee6k/8gkwDH9fVWK6PqXz/YfRYAfOj8Bx7o28Jxbv1UX/AJDK3BMcROqMVn6h0co+hgA+eqeEZiT/AL8Hv17ItV/rNIyLhmZJ9DBryO+zleSfQIAcD4LMMehgl1PwmylOQTZa5ka308Drz4BI5B3kAODbOZkd1G7R/DmzyCaszKv6rAl75w5i+Vsd2ADhUZiiHYEur+HMj7sJqZlldzAv5YaxPO3O7ABwl36Sz6GBpHfhrJ+7jcuYY9DAoXvw1kfdjuoAcJauY49PApXuw1kfdhTmTX1H6H8NbP3Y7uAHCHLmOPo8C/nhrV8rYE/SCOnAnT/DmR92O7gBwdiZl/z4H/LDWp524ObmWZZgcN78Ob7f+Od4ADhDmZhj0cDfPfh7I+7A2jmSJfgT/sw9sfdzu4AcH2MzT1G/b8A2eQD7bMsJt4HV+2wbHIO8ABwdLTMcelgVefANjkEG2eZp9PBK32WEfgHewA4I+yzNPoYJW+2xn8AbrHMUejglzPgkjkHegA4I2wzJHp4JcT3WUfgkHYfmefRwWvHgunknfgA4CzBc23Lop4VVpr4dlL+r2tPWYR/h5dVXpWx6vDfjbUVl6/O86kACtbW2s7dlvaUmUaFNIp02JCIMAA//2Q==







",jpeg
