,Title,Alias,Link,Seller,Price,Rating,Review Count,Availability,Features,Image Data,Image Extension
0,"Canon PowerShot SX540 Digital Camera w/ 50x Optical Zoom - Wi-Fi & NFC Enabled (Black), 1 - 1067C001",CanonPowe,https://www.amazon.com/Canon-PowerShot-Digital-Camera-Optical/dp/B019UDIAI6/ref=sr_1_3?dchild=1&keywords=cameras&qid=1614637360&sr=8-3,Canon,$279.00,4.6,734,In Stock.,"['Powerful 50x optical zoom with optical image stabilizer for outstanding optical performance', '20.3 Megapixel CMOS sensor with DIGIC 6 Image Processor helps deliver stunning image quality even in low light', 'Built-in Wi-Fi and NFC allows for easy sharing and transferring of images and videos. Canon High Power Flash HF-DC2', 'Capture spectacular 1080p Full HD video at 60p with stereo sound', 'Zoom framing assist now features a lock button option for quick and accurate subject recognition', 'Large 3.0-inch LCD (approx. 461,000 dots) allows easy viewing even from a wide angle', 'Hybrid auto lets you record up to four seconds of video before each image you capture, then automatically combines each clip and still into a quick video recap of the day', 'Story highlights enables the camera to automatically compile images and videos from a certain day or event into a mini highlight reel with music and effects']",https://images-na.ssl-images-amazon.com/images/I/81l6xdQOHyL.__AC_SY300_SX300_QL70_ML2_,jpg
1,Fujifilm Instax Mini 11 Instant Camera + Fujifilm Instax Mini Twin Pack Instant Film (16437396) + Single Pack Rainbow Film + Case + Travel Stickers (Blush Pink),FujifilmI,https://www.amazon.com/Fujifilm-Instant-16437396-Rainbow-Stickers/dp/B086Q4BRS9/ref=sr_1_4?dchild=1&keywords=cameras&qid=1614637360&sr=8-4,Fujifilm,$96.95,4.8,"3,380",In Stock.,"['EXPRESS YOUR CREATIVITY - with this New Fujifilm Instax Mini 11 Camera + Film + Stickers. This includes everything you need to start snapping right out of the box, putting smiles on faces of all ages and a perfect gift for you or a loved one for all occasions.', 'ONE-TOUCH SELFIE MODE - To keep your process streamlined, the Mini 11 has a built-in selfie mirror and macro mode. Instead of attaching an entire close-up lens attachment, just pull the lens barrel out until the “selfie mode” mark appears.', 'AUTOMATIC EXPOSURE - The Mini 11 automatically chooses the perfect shutter speed depending on your lighting. The addition of this feature makes it easier than ever to avoid under and overexposed photos.', 'CREDIT CARD SIZE - 5.4 cm x 8.6 cm: the unique credit-card sized film is easy to carry in your purse or wallet and has unique color borders to add style to your images. Leave them blank or personalize with a fun message.', 'SHOP WITH CONFIDENCE - Photo4Less Is a FUJIFILM AUTHORIZED DEALER, so you can rest assured knowing that your purchase is fully backed by Fujifilm USA. with Photo4less exceptional Customer Service.']",https://images-na.ssl-images-amazon.com/images/I/811GuGmNQKL.__AC_SX300_SY300_QL70_ML2_,jpg
2,"Digital Camera, Lecran FHD 1080P 36.0 Mega Pixels Vlogging Camera with 16X Digital Zoom, LCD Screen, Compact Portable Mini Cameras for Students, Teens, Kids (Pink)",DigitalCa,https://www.amazon.com/Digital-Lecran-Vlogging-Portable-Students/dp/B08LMF3XFK/ref=sr_1_5?dchild=1&keywords=cameras&qid=1614637360&sr=8-5,Lecran,$41.64,4.5,"1,115",In Stock.,"['🎁【FHD 1080P & 36MP Digital Camera】Featured with FHD 1080P resolution and 36.0 megapixels, this digital camera will help you to capture the most exciting memorable moments with good quality images or videos. Totally fits your demand, you could have fun and record wonderful times with friends, family members, and classmates.', '🎁【Vlogging Record & Webcam】Support video mode, build-in microphone, you could gain clear recording videos. The mini digital camera also can be used as a webcam, you could have video calls or start living streaming to share things on social media, just turn off the camera, connect it with the computer, press the power and mode button at the same time, then it will on the webcam mode.', '🎁【16X Digital Zoom & Pause Function】This digital camera supports 16X digital zoom, you could zoom in or out images by using the W/T button. The pause function allows you to pause when record or playback videos. And the built-in fill light helps you to take quality pictures in the dark.', '🎁【Portable & Easy to use】Smaller than smartphone, this compact portable mini camera is small enough to fit your pocket, you could bring it anywhere, anytime. And this point-and-shoot digital camera is super easy to operate and control, a deal gift for seniors, teens, kids, and students.', '🎁【Multifunction Digital Camera & Warranty】 This mini camera supports anti-shake, face detection, smile capture, continuous shotting, and self-timer function. It comes with two rechargeable lithium batteries, a USB cable, a portable bag, and a lanyard rope. We provide a perfect one year warranty for all purchases on Amazon, any problem or suggestion, please get in touch with us.']",https://images-na.ssl-images-amazon.com/images/I/71In2T0AH3L.__AC_SX300_SY300_QL70_ML2_,jpg
